region_name,source,quantity
Aridia,metanox_mining,286067655936.0
Aridia,refinery_mining,96900868456.0
Black Rise,metanox_mining,278232159146.0
Black Rise,refinery_mining,32807706118.0
Branch,metanox_mining,265603631220.0
Branch,refinery_mining,420933946735.0
Cache,metanox_mining,96368876155.0
Cache,refinery_mining,151497585527.0
Catch,metanox_mining,118109626797.0
Catch,refinery_mining,1230003437082.0
Cloud Ring,metanox_mining,163637570675.0
Cloud Ring,refinery_mining,180176520545.0
Cobalt Edge,metanox_mining,124677198595.0
Cobalt Edge,refinery_mining,295108186331.0
Curse,metanox_mining,250187892292.0
Curse,refinery_mining,555047300.0
Deklein,metanox_mining,206581605886.0
Deklein,refinery_mining,233177639280.0
Delve,metanox_mining,316629678884.0
Delve,refinery_mining,111906167366.0
Derelik,metanox_mining,183214344892.0
Derelik,refinery_mining,306201107204.0
Detorid,metanox_mining,281427045324.0
Detorid,refinery_mining,263807670586.0
Devoid,metanox_mining,86582095945.0
Devoid,refinery_mining,109172816253.0
Domain,metanox_mining,136252105886.0
Domain,refinery_mining,355455521136.0
Esoteria,metanox_mining,150139961751.0
Esoteria,refinery_mining,247247624096.0
Essence,metanox_mining,132017371436.0
Essence,refinery_mining,154002126483.0
Etherium Reach,metanox_mining,198770977993.0
Etherium Reach,refinery_mining,675326658155.0
Everyshore,metanox_mining,43980115909.0
Everyshore,refinery_mining,101499530438.0
Fade,metanox_mining,80903161711.0
Fade,refinery_mining,93686999822.0
Feythabolis,metanox_mining,98181863012.0
Feythabolis,refinery_mining,324324317942.0
Fountain,metanox_mining,472944044831.0
Fountain,refinery_mining,668073765159.0
Geminate,metanox_mining,322191208778.0
Geminate,refinery_mining,262486137900.0
Genesis,metanox_mining,305594516757.0
Genesis,refinery_mining,56170488710.0
Great Wildlands,metanox_mining,348867906275.0
Great Wildlands,refinery_mining,179940400599.0
Heimatar,metanox_mining,122637605267.0
Heimatar,refinery_mining,55309109381.0
Immensea,metanox_mining,35996708568.0
Immensea,refinery_mining,721149571396.0
Impass,metanox_mining,11209025544.0
Impass,refinery_mining,431931200658.0
Insmother,metanox_mining,244089694742.0
Insmother,refinery_mining,349354219063.0
Kador,metanox_mining,119203732912.0
Kador,refinery_mining,173168592264.0
Khanid,metanox_mining,192850686329.0
Khanid,refinery_mining,162893985699.0
Kor-Azor,metanox_mining,135078665324.0
Kor-Azor,refinery_mining,23379187144.0
Lonetrek,metanox_mining,91766156203.0
Lonetrek,refinery_mining,115583617096.0
Malpais,metanox_mining,171647752025.0
Malpais,refinery_mining,424507884907.0
Metropolis,metanox_mining,291028333926.0
Metropolis,refinery_mining,74814167052.0
Molden Heath,metanox_mining,147480505924.0
Molden Heath,refinery_mining,137511759905.0
Oasa,metanox_mining,200916458334.0
Oasa,refinery_mining,310601885253.0
Omist,metanox_mining,143989726647.0
Omist,refinery_mining,99119737408.0
Outer Passage,metanox_mining,127730296688.0
Outer Passage,refinery_mining,239412951210.0
Outer Ring,metanox_mining,357821260904.0
Outer Ring,refinery_mining,8553815768.0
Paragon Soul,metanox_mining,84202571532.0
Paragon Soul,refinery_mining,125488432574.0
Period Basis,metanox_mining,141420678727.0
Period Basis,refinery_mining,33252029710.0
Perrigen Falls,metanox_mining,179066454992.0
Perrigen Falls,refinery_mining,292858486114.0
Placid,metanox_mining,229060532628.0
Placid,refinery_mining,53154697360.0
Pochven,refinery_mining,10712496219.0
Providence,metanox_mining,311524894255.0
Providence,refinery_mining,335476656851.0
Pure Blind,metanox_mining,351856228395.0
Pure Blind,refinery_mining,472686958997.0
Querious,metanox_mining,309126333229.0
Querious,refinery_mining,719368404404.0
Scalding Pass,metanox_mining,461989393115.0
Scalding Pass,refinery_mining,18739931349.0
Sinq Laison,metanox_mining,113247940950.0
Sinq Laison,refinery_mining,145020573041.0
Solitude,metanox_mining,166561436889.0
Solitude,refinery_mining,30580432878.0
Stain,metanox_mining,244972195413.0
Stain,refinery_mining,382293118494.0
Syndicate,metanox_mining,528318062860.0
Syndicate,refinery_mining,269744159408.0
Tash-Murkon,metanox_mining,31756997752.0
Tash-Murkon,refinery_mining,97208450548.0
Tenal,metanox_mining,96728512446.0
Tenal,refinery_mining,180851104247.0
Tenerifis,metanox_mining,137760372050.0
Tenerifis,refinery_mining,565134606060.0
The Bleak Lands,metanox_mining,80589344269.0
The Bleak Lands,refinery_mining,12099104034.0
The Citadel,metanox_mining,97840231588.0
The Citadel,refinery_mining,78347410652.0
The Forge,metanox_mining,74436186854.0
The Forge,refinery_mining,149522737539.0
The Kalevala Expanse,metanox_mining,112205514871.0
The Kalevala Expanse,refinery_mining,434565118243.0
The Spire,metanox_mining,89718128605.0
The Spire,refinery_mining,292270410374.0
Tribute,metanox_mining,115731395804.0
Tribute,refinery_mining,430115538540.0
Vale of the Silent,metanox_mining,235485257910.0
Vale of the Silent,refinery_mining,1163669671852.0
Venal,metanox_mining,308702576158.0
Venal,refinery_mining,50757903185.0
Verge Vendor,metanox_mining,46164353959.0
Verge Vendor,refinery_mining,36668333132.0
Wicked Creek,metanox_mining,296634587908.0
Wormhole (Class 1),metanox_mining,19624808179.0
Wormhole (Class 1),refinery_mining,2342085118.0
Wormhole (Class 2),metanox_mining,79488477687.0
Wormhole (Class 2),refinery_mining,10043642372.0
Wormhole (Class 3),metanox_mining,32675534620.0
Wormhole (Class 3),refinery_mining,859014188.0
Wormhole (Class 4),metanox_mining,67700592864.0
Wormhole (Class 4),refinery_mining,5180864810.0
Wormhole (Class 5),metanox_mining,21922251716.0
Wormhole (Class 5),refinery_mining,4225237552.0
Wormhole (Class 6),metanox_mining,434329182.0
