region_id,region_name,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted,month
10000001,Derelik,1354008996.9,16700760.0,594788000.0,851713090.0,307760985.35,1317750.0,139340000.0,179409010.0,202501
10000002,The Forge,3757601379.7,20119830.0,4696993000.0,2003372170.0,890713238.4499999,2452540.0,768558000.0,429787200.0,202501
10000003,Vale of the Silent,4041483142.15,5129410.0,523437000.0,5138218160.0,249553246.15,440300.0,76804000.0,97115120.0,202501
10000005,Detorid,762943976.75,2297670.0,194965000.0,302342550.0,85904549.5,62350.0,40294000.0,2564810.0,202501
10000006,Wicked Creek,30282457.8,3868820.0,16540000.0,0.0,8015973.649999999,389290.0,3973000.0,0.0,202501
10000007,Cache,283135692.75,1087600.0,124359000.0,198267980.0,62429906.35,212480.0,19149000.0,9166250.0,202501
10000008,Scalding Pass,287387985.4,3439370.0,103583000.0,34615680.0,27985961.0,282240.0,31691000.0,3219800.0,202501
10000009,Insmother,789462013.6,4590870.0,148030000.0,569537880.0,187373781.3,254030.0,31060000.0,14524480.0,202501
10000010,Tribute,99912833.8,353720.0,154037000.0,1284614120.0,12328154.8,17580.0,42288000.0,61593180.0,202501
10000011,Great Wildlands,54896314.6,3451880.0,69439000.0,224424060.0,10726888.2,342030.0,19348000.0,4343970.0,202501
10000012,Curse,4494297.5,9989640.0,5513000.0,31334000.0,537507.1,429660.0,999000.0,299230.0,202501
10000013,Malpais,1366357109.5,4503280.0,784180000.0,1102360530.0,174117551.1,616980.0,237004000.0,53401560.0,202501
10000014,Catch,406606792.5,7272920.0,963078000.0,1336494870.0,33309611.95,2071440.0,57430000.0,28921270.0,202501
10000015,Venal,122416935.25,2708310.0,1505000.0,25005970.0,10420581.6,184450.0,319000.0,2294310.0,202501
10000016,Lonetrek,3047099224.3,24452360.0,1953104000.0,2159839940.0,742406222.9,2554250.0,293487000.0,488542510.0,202501
10000018,The Spire,609271020.15,2235350.0,93941000.0,435178840.0,109320105.7,126690.0,18610000.0,29159650.0,202501
10000020,Tash-Murkon,2553280644.75,3623270.0,1262197000.0,1052667090.0,732983462.45,186870.0,120461000.0,124162380.0,202501
10000021,Outer Passage,1121654830.8,1362050.0,119285000.0,402053650.0,105559917.95,223190.0,17720000.0,36346750.0,202501
10000022,Stain,90133108.2,155380.0,92644000.0,206624310.0,4953743.0,0.0,26391000.0,7769120.0,202501
10000023,Pure Blind,489199092.75,2891180.0,184073000.0,626894230.0,28758961.0,218970.0,40417000.0,14939930.0,202501
10000025,Immensea,3652903645.85,1358280.0,1397766000.0,3556063580.0,140355871.45,140360.0,243850000.0,112164370.0,202501
10000027,Etherium Reach,1020717073.4,3707500.0,143691000.0,791132850.0,182652631.2,334780.0,38325000.0,20668030.0,202501
10000028,Molden Heath,514071761.2,9382940.0,674836000.0,277797040.0,120454737.2,1339250.0,163033000.0,11930330.0,202501
10000029,Geminate,389047276.2,991940.0,53351000.0,347400310.0,38600077.3,68060.0,11993000.0,5097260.0,202501
10000030,Heimatar,2742123693.25,9681910.0,736292000.0,740370530.0,687689968.45,1464420.0,74557000.0,31614460.0,202501
10000031,Impass,3932927820.2,0.0,692311000.0,1818194600.0,161641274.7,0.0,134734000.0,130666200.0,202501
10000032,Sinq Laison,3667984279.55,6171960.0,1110928000.0,1304927110.0,895796375.5,538710.0,208031000.0,292713440.0,202501
10000033,The Citadel,2178852067.65,6473550.0,999559000.0,1107347260.0,591349995.65,613250.0,198421000.0,536942300.0,202501
10000034,The Kalevala Expanse,536497857.7,2934910.0,410324000.0,794182010.0,115016956.8,479370.0,104846000.0,30878130.0,202501
10000035,Deklein,624707808.35,215080.0,129658000.0,268803550.0,33917948.5,4920.0,18113000.0,1644440.0,202501
10000036,Devoid,362361058.1,1990790.0,547448000.0,1840525840.0,88144990.65,175640.0,114971000.0,59890400.0,202501
10000037,Everyshore,2161445316.25,2548780.0,2449009000.0,1305748780.0,492863785.15,136800.0,434348000.0,204321780.0,202501
10000038,The Bleak Lands,209909842.65,1883950.0,171695000.0,58090190.0,61170862.75,181760.0,26008000.0,12745000.0,202501
10000039,Esoteria,557650206.65,0.0,244607000.0,990331480.0,76259197.45,0.0,65508000.0,30687120.0,202501
10000040,Oasa,942652050.9,1617800.0,485462000.0,940444380.0,77088232.25,109480.0,66519000.0,10594840.0,202501
10000041,Syndicate,120908537.85,1583060.0,103729000.0,312231160.0,17000611.7,119470.0,17239000.0,38184310.0,202501
10000042,Metropolis,3818449919.05,18260040.0,3023908000.0,1172104750.0,691279555.05,679620.0,529159000.0,161345470.0,202501
10000043,Domain,3064853280.2,5870350.0,2188287000.0,3309392530.0,753860303.0,646010.0,300930000.0,433662120.0,202501
10000044,Solitude,185070118.85,11580240.0,649440000.0,583060080.0,43326722.8,985150.0,100891000.0,33049540.0,202501
10000045,Tenal,268906494.4,29358970.0,37824000.0,140575600.0,26447836.55,475950.0,2656000.0,8426010.0,202501
10000046,Fade,297980432.8,0.0,18704000.0,143489810.0,63869687.6,0.0,5094000.0,40298640.0,202501
10000047,Providence,736180999.3,0.0,362408000.0,370418580.0,103713404.85,0.0,99544000.0,27370080.0,202501
10000048,Placid,681329814.6,15949270.0,92776000.0,729945540.0,164525960.3,1700240.0,978000.0,230480490.0,202501
10000049,Khanid,1241091430.9,8532090.0,548529000.0,2121589560.0,330253775.4,662040.0,59414000.0,255154040.0,202501
10000050,Querious,474566633.3,0.0,425567000.0,770446720.0,61965538.45,0.0,96902000.0,26452820.0,202501
10000051,Cloud Ring,102187865.6,21433570.0,65875000.0,172002870.0,14718651.5,2835850.0,7684000.0,3509840.0,202501
10000052,Kador,1166846338.5,4298470.0,1638357000.0,2903840060.0,408112186.0,660290.0,125903000.0,572078200.0,202501
10000053,Cobalt Edge,533592226.35,652140.0,97493000.0,305330130.0,104120601.45,68060.0,17868000.0,31722140.0,202501
10000054,Aridia,451774485.85,30050290.0,243425000.0,81002290.0,93029883.0,1566990.0,35647000.0,804360.0,202501
10000055,Branch,125545667.9,658180.0,78594000.0,303937560.0,16278743.8,41820.0,2669000.0,48398060.0,202501
10000056,Feythabolis,317129435.2,6469390.0,37947000.0,226593970.0,63967291.1,916900.0,1598000.0,2987280.0,202501
10000057,Outer Ring,141648970.4,2210710.0,114934000.0,102904990.0,7661296.7,120210.0,7474000.0,1694800.0,202501
10000058,Fountain,2450973414.85,9553260.0,775175000.0,2177566120.0,89452798.7,1179790.0,106379000.0,113356560.0,202501
10000059,Paragon Soul,39549756.5,0.0,237505000.0,131464810.0,5556296.3,0.0,69800000.0,376560.0,202501
10000060,Delve,408218950.1,15653860.0,258554000.0,335611440.0,72134767.05,640490.0,44183000.0,41505220.0,202501
10000061,Tenerifis,1323424460.3,4409170.0,1230942000.0,1526692640.0,97567606.3,371480.0,204042000.0,92938970.0,202501
10000062,Omist,338568399.2,909480.0,122526000.0,99186370.0,22942106.55,70600.0,28502000.0,1666390.0,202501
10000063,Period Basis,217786394.95,0.0,98926000.0,97931250.0,64389480.5,0.0,28255000.0,1608100.0,202501
10000064,Essence,1987323500.75,4054880.0,835785000.0,1169297280.0,426472383.4,448240.0,98163000.0,94270510.0,202501
10000065,Kor-Azor,778941138.25,5262100.0,363187000.0,270175430.0,123942721.8,587230.0,47004000.0,46945580.0,202501
10000066,Perrigen Falls,1942097943.45,2618860.0,951782000.0,996808360.0,293773438.75,450690.0,174675000.0,29345230.0,202501
10000067,Genesis,1197201738.45,6577190.0,575416000.0,1037885230.0,248496530.2,1043420.0,101569000.0,182838080.0,202501
10000068,Verge Vendor,2078205504.05,1951770.0,45113000.0,483824150.0,480318981.25,184250.0,66000.0,114468080.0,202501
10000069,Black Rise,346537206.3,9400840.0,499848000.0,515015190.0,81711922.25,1381210.0,61061000.0,124580460.0,202501
10000070,Pochven,580107408.0,0.0,0.0,6595470.0,195335968.0,0.0,0.0,15260.0,202501
10000001,Derelik,1389888965.75,17987290.0,600533000.0,898073720.0,336953714.75,1583650.0,133305000.0,164454720.0,202502
10000002,The Forge,3665749619.8,16831120.0,4448475000.0,2297980680.0,890449346.1,1691840.0,711755000.0,489111800.0,202502
10000003,Vale of the Silent,3643907231.4,6110310.0,502957000.0,3997900940.0,185074548.7,612650.0,97648000.0,279586820.0,202502
10000005,Detorid,766781441.2,2597640.0,218878000.0,248788120.0,111203609.55,122600.0,46267000.0,367600.0,202502
10000006,Wicked Creek,10505453.65,3483430.0,9194000.0,1861190.0,3802853.2,56560.0,3060000.0,441850.0,202502
10000007,Cache,389487469.55,526310.0,193825000.0,241965600.0,47600049.15,113730.0,35451000.0,5135550.0,202502
10000008,Scalding Pass,173213131.75,4696840.0,68883000.0,37926500.0,22819262.25,147270.0,13976000.0,1889750.0,202502
10000009,Insmother,765818187.45,5046700.0,100052000.0,339955150.0,144302787.9,245220.0,24342000.0,7265350.0,202502
10000010,Tribute,128717865.8,554190.0,127554000.0,739454280.0,8777387.7,10810.0,50356000.0,14330930.0,202502
10000011,Great Wildlands,48698548.5,3883190.0,32634000.0,94515890.0,9330223.7,496410.0,8442000.0,4776680.0,202502
10000012,Curse,10126374.6,14636090.0,7310000.0,16442340.0,1281835.6,275410.0,383000.0,149050.0,202502
10000013,Malpais,1097049832.25,4805300.0,666853000.0,783995320.0,156172221.8,599340.0,199056000.0,56423920.0,202502
10000014,Catch,458311449.3,5679430.0,454516000.0,1923445050.0,23993877.9,1294940.0,54114000.0,17218460.0,202502
10000015,Venal,111891532.0,2355270.0,735000.0,270704000.0,11050574.7,128500.0,150000.0,21584120.0,202502
10000016,Lonetrek,2847763013.3,22130640.0,1700782000.0,1979504590.0,720946561.65,1900990.0,288323000.0,351108170.0,202502
10000018,The Spire,634649744.0,1986220.0,178385000.0,341991210.0,174402279.1,291860.0,38827000.0,13389950.0,202502
10000020,Tash-Murkon,2387582235.05,4316690.0,1126279000.0,1093656580.0,651530607.65,310740.0,127061000.0,115036530.0,202502
10000021,Outer Passage,1065031760.85,1015030.0,100151000.0,346663150.0,123417734.35,174010.0,18701000.0,18862710.0,202502
10000022,Stain,95151053.3,76250.0,273876000.0,202709480.0,4263532.1,0.0,17855000.0,424440.0,202502
10000023,Pure Blind,436410999.05,3641950.0,165267000.0,654203550.0,30859054.6,200430.0,48803000.0,14686590.0,202502
10000025,Immensea,2860086959.1,1417980.0,935051000.0,2626073230.0,115612138.6,204220.0,149359000.0,58732650.0,202502
10000027,Etherium Reach,1097479539.4,3192660.0,108139000.0,735295750.0,205991180.05,367780.0,23393000.0,39580130.0,202502
10000028,Molden Heath,394915485.55,8002300.0,497887000.0,151598380.0,87491477.7,1150350.0,132389000.0,5700850.0,202502
10000029,Geminate,253637017.95,1409590.0,134188000.0,310696070.0,22707401.05,170510.0,28995000.0,1136600.0,202502
10000030,Heimatar,2587772670.2,9221340.0,620007000.0,843544940.0,641323101.5,1230810.0,59511000.0,31999020.0,202502
10000031,Impass,3370285873.15,0.0,449534000.0,1869980720.0,148342131.0,0.0,83920000.0,43737940.0,202502
10000032,Sinq Laison,3215537220.55,5755430.0,853697000.0,1258716950.0,681948923.6999999,622900.0,214052000.0,302577920.0,202502
10000033,The Citadel,1948397843.25,5604430.0,846765000.0,1255306180.0,539494082.35,383580.0,199337000.0,488830730.0,202502
10000034,The Kalevala Expanse,715379111.05,3951130.0,427467000.0,475763040.0,141101903.95,376550.0,111248000.0,9084340.0,202502
10000035,Deklein,607648723.25,645360.0,107518000.0,388650750.0,32566197.55,34680.0,16079000.0,338550.0,202502
10000036,Devoid,429647262.85,1409560.0,606096000.0,1545579840.0,87844871.2,167520.0,114809000.0,66015200.0,202502
10000037,Everyshore,1621110191.75,1921060.0,2051754000.0,1297601670.0,351495714.0,152240.0,410912000.0,161040010.0,202502
10000038,The Bleak Lands,186888132.4,1210770.0,193411000.0,215712730.0,57551441.45,182920.0,29086000.0,11499180.0,202502
10000039,Esoteria,481816756.8,0.0,213467000.0,627069140.0,47363264.5,0.0,44848000.0,10287440.0,202502
10000040,Oasa,1148102299.5,1564460.0,773134000.0,745797790.0,74043153.15,196620.0,84168000.0,5460210.0,202502
10000041,Syndicate,112589857.05,1140740.0,100210000.0,233172250.0,19681456.85,126830.0,17850000.0,24801470.0,202502
10000042,Metropolis,3579308243.05,16257720.0,2546821000.0,1071686920.0,640167509.35,478520.0,453453000.0,120774990.0,202502
10000043,Domain,2581625611.15,5507760.0,1780314000.0,3665677790.0,632190390.75,582280.0,292738000.0,449340760.0,202502
10000044,Solitude,225671714.6,10082740.0,488591000.0,555100890.0,46562568.7,1134190.0,108677000.0,29718000.0,202502
10000045,Tenal,144336627.95,10135500.0,48923000.0,196577020.0,24057019.4,150020.0,4743000.0,18242030.0,202502
10000046,Fade,230451692.1,0.0,24307000.0,110388680.0,24419844.3,0.0,7691000.0,33019790.0,202502
10000047,Providence,649852947.7,0.0,222479000.0,314270630.0,101337119.5,0.0,60594000.0,18865360.0,202502
10000048,Placid,666735613.4499999,12542970.0,4103000.0,693853130.0,174495410.0,1750130.0,431000.0,195655320.0,202502
10000049,Khanid,943703061.15,8359300.0,345052000.0,2444955880.0,249772172.6,403660.0,69702000.0,248451750.0,202502
10000050,Querious,371988332.7,0.0,263843000.0,524639480.0,52835258.25,0.0,55592000.0,33371020.0,202502
10000051,Cloud Ring,74893801.95,24849580.0,55924000.0,99592610.0,12422618.0,1244000.0,5758000.0,1884620.0,202502
10000052,Kador,1260015821.65,4601050.0,1376078000.0,2615129040.0,435306961.05,507550.0,121822000.0,482318790.0,202502
10000053,Cobalt Edge,680004190.85,352950.0,122643000.0,347065520.0,87858131.4,27050.0,18266000.0,55338430.0,202502
10000054,Aridia,573893149.45,32665620.0,266665000.0,110275250.0,100076580.1,1804300.0,45781000.0,1107560.0,202502
10000055,Branch,133030761.7,400000.0,108280000.0,118614460.0,17643061.6,0.0,20309000.0,26455320.0,202502
10000056,Feythabolis,326235863.0,8678020.0,53117000.0,175748650.0,79531807.75,2051310.0,12027000.0,483310.0,202502
10000057,Outer Ring,40750199.8,1945610.0,82433000.0,83618400.0,5535225.8,55190.0,3156000.0,1503310.0,202502
10000058,Fountain,2282146090.4,7373160.0,897755000.0,1931887540.0,74649394.25,1249830.0,110516000.0,97957770.0,202502
10000059,Paragon Soul,47596461.8,0.0,188416000.0,143530130.0,7991149.3,0.0,31237000.0,3042680.0,202502
10000060,Delve,335821198.0,8655550.0,145401000.0,362853980.0,74679383.95,1298370.0,31380000.0,24619640.0,202502
10000061,Tenerifis,1250195670.1,3250050.0,679818000.0,1296259450.0,42126679.95,310270.0,102264000.0,53216350.0,202502
10000062,Omist,303276333.7,803320.0,209438000.0,107330130.0,28795666.8,137000.0,58773000.0,817040.0,202502
10000063,Period Basis,125966930.6,0.0,90182000.0,69565980.0,50099496.7,0.0,31899000.0,836180.0,202502
10000064,Essence,1647585545.8,3478220.0,606909000.0,1242450560.0,390191916.2,236760.0,118326000.0,53906390.0,202502
10000065,Kor-Azor,777558769.95,6210800.0,331767000.0,195711400.0,152039186.1,397080.0,61072000.0,29566960.0,202502
10000066,Perrigen Falls,2268547720.2,2868010.0,952560000.0,997957170.0,288546703.15,354270.0,163354000.0,26143920.0,202502
10000067,Genesis,903125648.85,6838780.0,537111000.0,655058240.0,169695993.2,675220.0,110303000.0,168393350.0,202502
10000068,Verge Vendor,1782207232.75,1864420.0,3008000.0,457320050.0,407000718.5,151810.0,277000.0,88852720.0,202502
10000069,Black Rise,298322486.3,6963870.0,344754000.0,470931800.0,79384134.35,1116560.0,50583000.0,121866710.0,202502
10000070,Pochven,364069616.0,0.0,0.0,2616020.0,95969384.0,0.0,0.0,16190.0,202502
10000001,Derelik,1439327484.35,19948980.0,706164000.0,1106571200.0,318347072.85,1726970.0,104978000.0,149034860.0,202503
10000002,The Forge,3621670287.4,20753600.0,5064726000.0,2294713010.0,849090390.6,2799100.0,747771000.0,486939670.0,202503
10000003,Vale of the Silent,4687261926.1,5930900.0,1324542000.0,6453392470.0,258061031.65,471480.0,236968000.0,298029600.0,202503
10000005,Detorid,1260024099.65,2651030.0,212689000.0,264199860.0,136896349.3,129030.0,54460000.0,897700.0,202503
10000006,Wicked Creek,20199465.6,4078780.0,2593000.0,0.0,5706174.8,102950.0,480000.0,0.0,202503
10000007,Cache,379331587.45,828390.0,155402000.0,253431720.0,52227322.1,123760.0,24015000.0,3362630.0,202503
10000008,Scalding Pass,144583623.35,4906860.0,71641000.0,48842780.0,16663503.0,257160.0,17087000.0,6213740.0,202503
10000009,Insmother,882950753.8,5714330.0,91228000.0,447294750.0,162574518.3,254910.0,18618000.0,8982790.0,202503
10000010,Tribute,267513270.2,923800.0,547937000.0,1135471840.0,7897692.5,16400.0,61215000.0,25927070.0,202503
10000011,Great Wildlands,30469522.1,5004600.0,24082000.0,159516500.0,8747719.4,325300.0,2499000.0,1338310.0,202503
10000012,Curse,5917814.7,10369750.0,10049000.0,8385000.0,968881.4,381260.0,2298000.0,41440.0,202503
10000013,Malpais,1406184436.45,4645450.0,709758000.0,749360290.0,299009544.15,716020.0,197104000.0,49249140.0,202503
10000014,Catch,595552860.4,3201440.0,513961000.0,2327774190.0,57528726.45,663120.0,67241000.0,46609180.0,202503
10000015,Venal,129089386.65,3703980.0,6992000.0,49241920.0,12170445.7,381450.0,1305000.0,14152060.0,202503
10000016,Lonetrek,2781034346.1,23143280.0,1988107000.0,1858457880.0,670927812.25,2576970.0,347685000.0,353295740.0,202503
10000018,The Spire,1054672677.45,1921520.0,345503000.0,394732630.0,251208946.7,151330.0,94001000.0,17531980.0,202503
10000020,Tash-Murkon,2839464847.75,5336750.0,1073920000.0,1294259010.0,702850669.5,134660.0,145398000.0,155988440.0,202503
10000021,Outer Passage,1147848674.0,988280.0,127030000.0,392590990.0,126535993.15,126110.0,23959000.0,26572010.0,202503
10000022,Stain,57883590.6,149320.0,140764000.0,293349640.0,4094997.3,0.0,14894000.0,2162920.0,202503
10000023,Pure Blind,891661996.4,5421540.0,187760000.0,755111210.0,72380051.05,622040.0,47894000.0,39054410.0,202503
